Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity,"12,881,614.51",0.07,"12,881,614.51","185,267.00",69.53,United States,NYSE,USD,1.00,--
CAH,CARDINAL HEALTH INC,Health Care,Equity,"12,699,234.16",0.06,"12,699,234.16","65,332.00",194.38,United States,NYSE,USD,1.00,--
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Equity,"12,593,427.63",0.06,"12,593,427.63","46,741.00",269.43,United States,NYSE,USD,1.00,--
EXC,EXELON CORP,Utilities,Equity,"12,413,973.60",0.06,"12,413,973.60","279,594.00",44.40,United States,NASDAQ,USD,1.00,--
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,"12,391,476.71",0.06,"12,391,476.71","363,067.00",34.13,United States,NYSE,USD,1.00,--
FERG,FERGUSON ENTERPRISES INC,Industrials,Equity,"12,254,240.00",0.06,"12,254,240.00","52,820.00",232.00,United States,NYSE,USD,1.00,--
MET,METLIFE INC,Financials,Equity,"12,167,115.52",0.06,"12,167,115.52","153,664.00",79.18,United States,NYSE,USD,1.00,--
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,"12,117,591.08",0.06,"12,117,591.08","49,988.00",242.41,United States,NASDAQ,USD,1.00,--
NU,NU HOLDINGS CLASS A,Financials,Equity,"11,986,019.49",0.06,"11,986,019.49","926,993.00",12.93,Brazil,NYSE,USD,1.00,--
AMP,AMERIPRISE FINANCE INC,Financials,Equity,"11,890,687.60",0.06,"11,890,687.60","25,190.00",472.04,United States,NYSE,USD,1.00,--
STT,STATE STREET CORP,Financials,Equity,"11,883,802.88",0.06,"11,883,802.88","77,288.00",153.76,United States,NYSE,USD,1.00,--
FITB,FIFTH THIRD BANCORP,Financials,Equity,"11,827,548.90",0.06,"11,827,548.90","247,957.00",47.70,United States,NASDAQ,USD,1.00,--
RSG,REPUBLIC SERVICES INC,Industrials,Equity,"11,743,467.00",0.06,"11,743,467.00","56,275.00",208.68,United States,NYSE,USD,1.00,--
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,"11,639,793.84",0.06,"11,639,793.84","21,844.00",532.86,United States,NASDAQ,USD,1.00,--
YUM,YUM BRANDS INC,Consumer Discretionary,Equity,"11,606,493.39",0.06,"11,606,493.39","77,053.00",150.63,United States,NYSE,USD,1.00,--
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"11,579,034.70",0.06,"11,579,034.70","360,830.00",32.09,United States,NYSE,USD,1.00,--
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"11,566,091.84",0.06,"11,566,091.84","256,796.00",45.04,United States,NASDAQ,USD,1.00,--
VTR,VENTAS REIT INC,Real Estate,Equity,"11,546,096.12",0.06,"11,546,096.12","128,347.00",89.96,United States,NYSE,USD,1.00,--
